video,frame_idx,size_bytes
12465623_1080_1920_30fps.mp4.txt,1,26817
12465623_1080_1920_30fps.mp4.txt,251,11115
12465623_1080_1920_30fps.mp4.txt,501,18156
SampleVideo_360x240_2mb.flv.txt,1,19541
SampleVideo_360x240_2mb.flv.txt,301,13842
sample_1280x720_surfing_with_audio.flv.txt,1,23860
sample_1280x720_surfing_with_audio.flv.txt,8,293803
sample_1280x720_surfing_with_audio.flv.txt,20,37453
sample_1280x720_surfing_with_audio.flv.txt,32,35070
sample_1280x720_surfing_with_audio.flv.txt,44,32601
sample_1280x720_surfing_with_audio.flv.txt,56,29924
sample_1280x720_surfing_with_audio.flv.txt,68,25712
sample_1280x720_surfing_with_audio.flv.txt,80,24924
sample_1280x720_surfing_with_audio.flv.txt,92,25211
sample_1280x720_surfing_with_audio.flv.txt,104,24872
sample_1280x720_surfing_with_audio.flv.txt,116,23860
sample_1280x720_surfing_with_audio.flv.txt,128,24369
sample_1280x720_surfing_with_audio.flv.txt,140,24442
sample_1280x720_surfing_with_audio.flv.txt,152,24409
sample_1280x720_surfing_with_audio.flv.txt,164,23973
sample_1280x720_surfing_with_audio.flv.txt,176,24324
sample_1280x720_surfing_with_audio.flv.txt,188,24984
sample_1280x720_surfing_with_audio.flv.txt,200,24955
sample_1280x720_surfing_with_audio.flv.txt,212,24845
sample_1280x720_surfing_with_audio.flv.txt,224,28632
sample_1280x720_surfing_with_audio.flv.txt,236,30501
sample_1280x720_surfing_with_audio.flv.txt,248,28557
sample_1280x720_surfing_with_audio.flv.txt,260,26722
sample_1280x720_surfing_with_audio.flv.txt,272,26004
sample_1280x720_surfing_with_audio.flv.txt,281,33543
sample_1280x720_surfing_with_audio.flv.txt,293,31951
sample_1280x720_surfing_with_audio.flv.txt,305,30018
sample_1280x720_surfing_with_audio.flv.txt,317,29218
sample_1280x720_surfing_with_audio.flv.txt,329,28424
sample_1280x720_surfing_with_audio.flv.txt,341,28066
sample_1280x720_surfing_with_audio.flv.txt,346,29205
sample_1280x720_surfing_with_audio.flv.txt,358,29330
sample_1280x720_surfing_with_audio.flv.txt,370,29526
sample_1280x720_surfing_with_audio.flv.txt,382,29918
sample_1280x720_surfing_with_audio.flv.txt,394,30464
sample_1280x720_surfing_with_audio.flv.txt,398,32278
sample_1280x720_surfing_with_audio.flv.txt,410,32356
sample_1280x720_surfing_with_audio.flv.txt,422,32435
sample_1280x720_surfing_with_audio.flv.txt,434,32365
sample_1280x720_surfing_with_audio.flv.txt,446,32421
sample_1280x720_surfing_with_audio.flv.txt,458,32050
sample_1280x720_surfing_with_audio.flv.txt,470,32419
sample_1280x720_surfing_with_audio.flv.txt,482,32694
sample_1280x720_surfing_with_audio.flv.txt,484,29487
sample_1280x720_surfing_with_audio.flv.txt,496,29883
sample_1280x720_surfing_with_audio.flv.txt,508,29416
sample_1280x720_surfing_with_audio.flv.txt,519,25754
sample_1280x720_surfing_with_audio.flv.txt,531,25788
sample_1280x720_surfing_with_audio.flv.txt,543,25813
sample_1280x720_surfing_with_audio.flv.txt,555,25814
sample_1280x720_surfing_with_audio.flv.txt,567,25819
sample_1280x720_surfing_with_audio.flv.txt,579,25794
sample_1280x720_surfing_with_audio.flv.txt,591,25787
sample_1280x720_surfing_with_audio.flv.txt,603,25812
sample_1280x720_surfing_with_audio.flv.txt,615,25788
sample_1280x720_surfing_with_audio.flv.txt,627,25840
sample_1280x720_surfing_with_audio.flv.txt,639,25859
sample_1280x720_surfing_with_audio.flv.txt,651,25872
sample_1280x720_surfing_with_audio.flv.txt,654,32529
sample_1280x720_surfing_with_audio.flv.txt,666,31064
sample_1280x720_surfing_with_audio.flv.txt,678,30070
sample_1280x720_surfing_with_audio.flv.txt,690,29920
sample_1280x720_surfing_with_audio.flv.txt,702,30718
sample_1280x720_surfing_with_audio.flv.txt,714,30937
sample_1280x720_surfing_with_audio.flv.txt,726,30067
sample_1280x720_surfing_with_audio.flv.txt,738,28424
sample_1280x720_surfing_with_audio.flv.txt,750,26983
sample_1280x720_surfing_with_audio.flv.txt,762,27218
sample_1280x720_surfing_with_audio.flv.txt,774,28091
sample_1280x720_surfing_with_audio.flv.txt,786,27591
sample_1280x720_surfing_with_audio.flv.txt,798,27720
sample_1280x720_surfing_with_audio.flv.txt,810,29692
sample_1280x720_surfing_with_audio.flv.txt,822,30080
sample_1280x720_surfing_with_audio.flv.txt,823,29209
