video,resolution,resolution_label,avg_iframe_size
12002299-hd_1280_720_33fps.mp4,1280x720,720p,5339.923076923077
12146645_1280_720_30fps.mp4,1280x720,720p,11872.0
12154555_360_640_30fps.mp4,360x640,<=480p,75.0
12363000_1080_1920_24fps.mp4,1080x1920,1080p,65884.0
12392185_1080_1920_60fps.mp4,1080x1920,1080p,4692.666666666667
12465623_1080_1920_30fps.mp4,1080x1920,1080p,18696.0
12500700_1920_1080_24fps.mp4,1920x1080,1080p,19681.5
12624161_1920_1080_30fps.mp4,1920x1080,1080p,18804.25
12657685-hd_1080_1920_50fps.mp4,1080x1920,1080p,8363.111111111111
12657685-uhd_2160_3840_50fps.mp4,2160x3840,4K,51697.0
12805491_1280_720_25fps.mp4,1280x720,720p,4179.0
12806028_1280_720_60fps.mp4,1280x720,720p,7333.25
12996639_1920_1080_24fps.mp4,1920x1080,1080p,49404.8
13194231_1080_1920_30fps.mp4,1080x1920,1080p,13185.5
13232985_1080_1920_30fps.mp4,1080x1920,1080p,13186.5
13247014_1280_720_24fps.mp4,1280x720,720p,3129.6666666666665
13265468_360_640_60fps.mp4,360x640,<=480p,254.5
13315366_1280_720_25fps.mp4,1280x720,720p,4056.0
13323400-hd_1920_1080_30fps.mp4,1920x1080,1080p,16486.58823529412
13323400-uhd_3840_2160_30fps.mp4,3840x2160,4K,58029.94117647059
13426752-hd_720_1280_25fps.mp4,720x1280,720p,10172.666666666666
13606688_1080_1920_30fps.mp4,1080x1920,1080p,10578.0
13618772_2160_3840_24fps.mp4,2160x3840,4K,39088.0
13619407_1080_1920_30fps.mp4,1080x1920,1080p,18004.0
13631949_1080_1920_24fps.mp4,1080x1920,1080p,12824.5
13631951_2160_3840_24fps.mp4,2160x3840,4K,53956.5
13664056_1280_720_30fps.mp4,1280x720,720p,8497.5
13678302_540_960_24fps.mp4,540x960,<=480p,4463.0
13678303_720_1280_24fps.mp4,720x1280,720p,12057.0
13684300_640_360_24fps.mp4,640x360,<=480p,9498.666666666666
13704310_720_1280_30fps.mp4,720x1280,720p,7443.0
13704981_3840_2160_24fps.mp4,3840x2160,4K,37486.5
13740927_1080_1920_30fps.mp4,1080x1920,1080p,40522.0
13745021_720_1280_30fps.mp4,720x1280,720p,27179.666666666668
13754369_360_640_60fps.mp4,360x640,<=480p,86.25
13763590_1080_1920_30fps.mp4,1080x1920,1080p,34291.0
13793490_1920_1080_30fps.mp4,1920x1080,1080p,11887.0
13801035_540_960_30fps.mp4,540x960,<=480p,27025.0
13801037_1080_1920_30fps.mp4,1080x1920,1080p,79917.0
13846520_720_1280_30fps.mp4,720x1280,720p,9921.0
