print meta info for videos/12657685-hd_1080_1920_50fps.mp4:
  duration time: 26.00 秒
  file size: 18.33 MB
  frame rate: 50.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=17204 bytes, size after decode=4423680 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=4600 bytes, size after decode=4423680 bytes, type=B, timestamp=0.020 seconds
frame #3: size before decode=5463 bytes, size after decode=4423680 bytes, type=B, timestamp=0.040 seconds
frame #4: size before decode=66689 bytes, size after decode=4423680 bytes, type=B, timestamp=0.060 seconds
frame #5: size before decode=19387 bytes, size after decode=4423680 bytes, type=P, timestamp=0.080 seconds
frame #6: size before decode=5572 bytes, size after decode=4423680 bytes, type=B, timestamp=0.100 seconds
frame #7: size before decode=5248 bytes, size after decode=4423680 bytes, type=B, timestamp=0.120 seconds
frame #8: size before decode=58288 bytes, size after decode=4423680 bytes, type=B, timestamp=0.140 seconds
frame #9: size before decode=22190 bytes, size after decode=4423680 bytes, type=P, timestamp=0.160 seconds
frame #10: size before decode=6112 bytes, size after decode=4423680 bytes, type=B, timestamp=0.180 seconds
frame #11: size before decode=5894 bytes, size after decode=4423680 bytes, type=B, timestamp=0.200 seconds
frame #12: size before decode=55471 bytes, size after decode=4423680 bytes, type=B, timestamp=0.220 seconds
frame #13: size before decode=20502 bytes, size after decode=4423680 bytes, type=P, timestamp=0.240 seconds
frame #14: size before decode=5846 bytes, size after decode=4423680 bytes, type=B, timestamp=0.260 seconds
frame #15: size before decode=5832 bytes, size after decode=4423680 bytes, type=B, timestamp=0.280 seconds
frame #16: size before decode=56322 bytes, size after decode=4423680 bytes, type=B, timestamp=0.300 seconds
frame #17: size before decode=20955 bytes, size after decode=4423680 bytes, type=P, timestamp=0.320 seconds
frame #18: size before decode=6081 bytes, size after decode=4423680 bytes, type=B, timestamp=0.340 seconds
frame #19: size before decode=5734 bytes, size after decode=4423680 bytes, type=B, timestamp=0.360 seconds
frame #20: size before decode=50412 bytes, size after decode=4423680 bytes, type=B, timestamp=0.380 seconds
frame #21: size before decode=19326 bytes, size after decode=4423680 bytes, type=P, timestamp=0.400 seconds
frame #22: size before decode=5287 bytes, size after decode=4423680 bytes, type=B, timestamp=0.420 seconds
frame #23: size before decode=5270 bytes, size after decode=4423680 bytes, type=B, timestamp=0.440 seconds
frame #24: size before decode=47896 bytes, size after decode=4423680 bytes, type=B, timestamp=0.460 seconds
