print meta info for videos/13704310_720_1280_30fps.mp4:
  duration time: 8.97 秒
  file size: 6.43 MB
  frame rate: 30.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=5754 bytes, size after decode=1966080 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=2662 bytes, size after decode=1966080 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=2223 bytes, size after decode=1966080 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=53932 bytes, size after decode=1966080 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=69667 bytes, size after decode=1966080 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=18633 bytes, size after decode=1966080 bytes, type=P, timestamp=0.167 seconds
frame #7: size before decode=72912 bytes, size after decode=1966080 bytes, type=P, timestamp=0.200 seconds
frame #8: size before decode=4496 bytes, size after decode=1966080 bytes, type=P, timestamp=0.233 seconds
frame #9: size before decode=2851 bytes, size after decode=1966080 bytes, type=B, timestamp=0.267 seconds
frame #10: size before decode=1609 bytes, size after decode=1966080 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=44314 bytes, size after decode=1966080 bytes, type=B, timestamp=0.333 seconds
frame #12: size before decode=1349 bytes, size after decode=1966080 bytes, type=P, timestamp=0.367 seconds
frame #13: size before decode=36796 bytes, size after decode=1966080 bytes, type=B, timestamp=0.400 seconds
frame #14: size before decode=57208 bytes, size after decode=1966080 bytes, type=P, timestamp=0.433 seconds
frame #15: size before decode=1638 bytes, size after decode=1966080 bytes, type=P, timestamp=0.467 seconds
frame #16: size before decode=42840 bytes, size after decode=1966080 bytes, type=B, timestamp=0.500 seconds
frame #17: size before decode=1320 bytes, size after decode=1966080 bytes, type=P, timestamp=0.533 seconds
frame #18: size before decode=28485 bytes, size after decode=1966080 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=68865 bytes, size after decode=1966080 bytes, type=P, timestamp=0.600 seconds
frame #20: size before decode=4498 bytes, size after decode=1966080 bytes, type=P, timestamp=0.633 seconds
frame #21: size before decode=2211 bytes, size after decode=1966080 bytes, type=B, timestamp=0.667 seconds
frame #22: size before decode=1587 bytes, size after decode=1966080 bytes, type=B, timestamp=0.700 seconds
frame #23: size before decode=44319 bytes, size after decode=1966080 bytes, type=B, timestamp=0.733 seconds
frame #24: size before decode=4136 bytes, size after decode=1966080 bytes, type=P, timestamp=0.767 seconds
frame #25: size before decode=2184 bytes, size after decode=1966080 bytes, type=B, timestamp=0.800 seconds
frame #26: size before decode=74506 bytes, size after decode=1966080 bytes, type=B, timestamp=0.833 seconds
frame #27: size before decode=4135 bytes, size after decode=1966080 bytes, type=P, timestamp=0.867 seconds
frame #28: size before decode=1530 bytes, size after decode=1966080 bytes, type=B, timestamp=0.900 seconds
frame #29: size before decode=1669 bytes, size after decode=1966080 bytes, type=B, timestamp=0.933 seconds
frame #30: size before decode=18063 bytes, size after decode=1966080 bytes, type=B, timestamp=0.967 seconds
frame #31: size before decode=41500 bytes, size after decode=1966080 bytes, type=P, timestamp=1.000 seconds
frame #32: size before decode=4249 bytes, size after decode=1966080 bytes, type=P, timestamp=1.033 seconds
frame #33: size before decode=1025 bytes, size after decode=1966080 bytes, type=B, timestamp=1.067 seconds
frame #34: size before decode=1204 bytes, size after decode=1966080 bytes, type=B, timestamp=1.100 seconds
frame #35: size before decode=42257 bytes, size after decode=1966080 bytes, type=B, timestamp=1.133 seconds
frame #36: size before decode=1071 bytes, size after decode=1966080 bytes, type=P, timestamp=1.167 seconds
frame #37: size before decode=19880 bytes, size after decode=1966080 bytes, type=B, timestamp=1.200 seconds
frame #38: size before decode=39636 bytes, size after decode=1966080 bytes, type=P, timestamp=1.233 seconds
frame #39: size before decode=15455 bytes, size after decode=1966080 bytes, type=P, timestamp=1.267 seconds
frame #40: size before decode=50961 bytes, size after decode=1966080 bytes, type=P, timestamp=1.300 seconds
frame #41: size before decode=2660 bytes, size after decode=1966080 bytes, type=P, timestamp=1.333 seconds
frame #42: size before decode=821 bytes, size after decode=1966080 bytes, type=B, timestamp=1.367 seconds
frame #43: size before decode=36744 bytes, size after decode=1966080 bytes, type=B, timestamp=1.400 seconds
frame #44: size before decode=1102 bytes, size after decode=1966080 bytes, type=P, timestamp=1.433 seconds
frame #45: size before decode=50258 bytes, size after decode=1966080 bytes, type=B, timestamp=1.467 seconds
frame #46: size before decode=17827 bytes, size after decode=1966080 bytes, type=P, timestamp=1.500 seconds
frame #47: size before decode=24439 bytes, size after decode=1966080 bytes, type=P, timestamp=1.533 seconds
frame #48: size before decode=39288 bytes, size after decode=1966080 bytes, type=P, timestamp=1.567 seconds
frame #49: size before decode=26274 bytes, size after decode=1966080 bytes, type=P, timestamp=1.600 seconds
frame #50: size before decode=34282 bytes, size after decode=1966080 bytes, type=P, timestamp=1.633 seconds
frame #51: size before decode=25526 bytes, size after decode=1966080 bytes, type=P, timestamp=1.667 seconds
frame #52: size before decode=33451 bytes, size after decode=1966080 bytes, type=P, timestamp=1.700 seconds
frame #53: size before decode=35026 bytes, size after decode=1966080 bytes, type=P, timestamp=1.733 seconds
frame #54: size before decode=22085 bytes, size after decode=1966080 bytes, type=P, timestamp=1.767 seconds
frame #55: size before decode=24811 bytes, size after decode=1966080 bytes, type=P, timestamp=1.800 seconds
frame #56: size before decode=33512 bytes, size after decode=1966080 bytes, type=P, timestamp=1.833 seconds
frame #57: size before decode=67395 bytes, size after decode=1966080 bytes, type=P, timestamp=1.867 seconds
frame #58: size before decode=1395 bytes, size after decode=1966080 bytes, type=P, timestamp=1.900 seconds
frame #59: size before decode=16666 bytes, size after decode=1966080 bytes, type=B, timestamp=1.933 seconds
frame #60: size before decode=45106 bytes, size after decode=1966080 bytes, type=P, timestamp=1.967 seconds
frame #61: size before decode=21730 bytes, size after decode=1966080 bytes, type=P, timestamp=2.000 seconds
frame #62: size before decode=30262 bytes, size after decode=1966080 bytes, type=P, timestamp=2.033 seconds
frame #63: size before decode=40776 bytes, size after decode=1966080 bytes, type=P, timestamp=2.067 seconds
frame #64: size before decode=26602 bytes, size after decode=1966080 bytes, type=P, timestamp=2.100 seconds
frame #65: size before decode=46552 bytes, size after decode=1966080 bytes, type=P, timestamp=2.133 seconds
frame #66: size before decode=21298 bytes, size after decode=1966080 bytes, type=P, timestamp=2.167 seconds
frame #67: size before decode=29819 bytes, size after decode=1966080 bytes, type=P, timestamp=2.200 seconds
frame #68: size before decode=32501 bytes, size after decode=1966080 bytes, type=P, timestamp=2.233 seconds
frame #69: size before decode=34911 bytes, size after decode=1966080 bytes, type=P, timestamp=2.267 seconds
frame #70: size before decode=51252 bytes, size after decode=1966080 bytes, type=P, timestamp=2.300 seconds
frame #71: size before decode=30647 bytes, size after decode=1966080 bytes, type=P, timestamp=2.333 seconds
frame #72: size before decode=20400 bytes, size after decode=1966080 bytes, type=P, timestamp=2.367 seconds
frame #73: size before decode=40439 bytes, size after decode=1966080 bytes, type=P, timestamp=2.400 seconds
frame #74: size before decode=28705 bytes, size after decode=1966080 bytes, type=P, timestamp=2.433 seconds
frame #75: size before decode=34440 bytes, size after decode=1966080 bytes, type=P, timestamp=2.467 seconds
frame #76: size before decode=27223 bytes, size after decode=1966080 bytes, type=P, timestamp=2.500 seconds
frame #77: size before decode=22072 bytes, size after decode=1966080 bytes, type=P, timestamp=2.533 seconds
frame #78: size before decode=43027 bytes, size after decode=1966080 bytes, type=P, timestamp=2.567 seconds
frame #79: size before decode=19104 bytes, size after decode=1966080 bytes, type=P, timestamp=2.600 seconds
frame #80: size before decode=44169 bytes, size after decode=1966080 bytes, type=P, timestamp=2.633 seconds
frame #81: size before decode=19029 bytes, size after decode=1966080 bytes, type=P, timestamp=2.667 seconds
frame #82: size before decode=35602 bytes, size after decode=1966080 bytes, type=P, timestamp=2.700 seconds
frame #83: size before decode=97224 bytes, size after decode=1966080 bytes, type=P, timestamp=2.733 seconds
frame #84: size before decode=3743 bytes, size after decode=1966080 bytes, type=P, timestamp=2.767 seconds
frame #85: size before decode=1718 bytes, size after decode=1966080 bytes, type=B, timestamp=2.800 seconds
frame #86: size before decode=1432 bytes, size after decode=1966080 bytes, type=B, timestamp=2.833 seconds
frame #87: size before decode=19426 bytes, size after decode=1966080 bytes, type=B, timestamp=2.867 seconds
frame #88: size before decode=36104 bytes, size after decode=1966080 bytes, type=P, timestamp=2.900 seconds
frame #89: size before decode=24676 bytes, size after decode=1966080 bytes, type=P, timestamp=2.933 seconds
frame #90: size before decode=50572 bytes, size after decode=1966080 bytes, type=P, timestamp=2.967 seconds
frame #91: size before decode=22621 bytes, size after decode=1966080 bytes, type=P, timestamp=3.000 seconds
frame #92: size before decode=32316 bytes, size after decode=1966080 bytes, type=P, timestamp=3.033 seconds
