print meta info for videos/4531063-uhd_3840_2160_30fps.mp4:
  duration time: 19.02 秒
  file size: 50.91 MB
  frame rate: 29.97 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=26154 bytes, size after decode=16588800 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=17757 bytes, size after decode=16588800 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=15128 bytes, size after decode=16588800 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=210364 bytes, size after decode=16588800 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=19293 bytes, size after decode=16588800 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=15018 bytes, size after decode=16588800 bytes, type=B, timestamp=0.167 seconds
frame #7: size before decode=187410 bytes, size after decode=16588800 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=26162 bytes, size after decode=16588800 bytes, type=P, timestamp=0.234 seconds
frame #9: size before decode=20256 bytes, size after decode=16588800 bytes, type=B, timestamp=0.267 seconds
frame #10: size before decode=13631 bytes, size after decode=16588800 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=174725 bytes, size after decode=16588800 bytes, type=B, timestamp=0.334 seconds
frame #12: size before decode=18624 bytes, size after decode=16588800 bytes, type=P, timestamp=0.367 seconds
frame #13: size before decode=14653 bytes, size after decode=16588800 bytes, type=B, timestamp=0.400 seconds
frame #14: size before decode=193586 bytes, size after decode=16588800 bytes, type=B, timestamp=0.434 seconds
frame #15: size before decode=26246 bytes, size after decode=16588800 bytes, type=P, timestamp=0.467 seconds
frame #16: size before decode=19058 bytes, size after decode=16588800 bytes, type=B, timestamp=0.501 seconds
frame #17: size before decode=13411 bytes, size after decode=16588800 bytes, type=B, timestamp=0.534 seconds
frame #18: size before decode=192849 bytes, size after decode=16588800 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=28565 bytes, size after decode=16588800 bytes, type=P, timestamp=0.601 seconds
frame #20: size before decode=20818 bytes, size after decode=16588800 bytes, type=B, timestamp=0.634 seconds
frame #21: size before decode=14167 bytes, size after decode=16588800 bytes, type=B, timestamp=0.667 seconds
frame #22: size before decode=137600 bytes, size after decode=16588800 bytes, type=B, timestamp=0.701 seconds
frame #23: size before decode=22777 bytes, size after decode=16588800 bytes, type=P, timestamp=0.734 seconds
frame #24: size before decode=15333 bytes, size after decode=16588800 bytes, type=B, timestamp=0.767 seconds
frame #25: size before decode=13216 bytes, size after decode=16588800 bytes, type=B, timestamp=0.801 seconds
frame #26: size before decode=188634 bytes, size after decode=16588800 bytes, type=B, timestamp=0.834 seconds
frame #27: size before decode=24295 bytes, size after decode=16588800 bytes, type=P, timestamp=0.868 seconds
frame #28: size before decode=15459 bytes, size after decode=16588800 bytes, type=B, timestamp=0.901 seconds
frame #29: size before decode=12316 bytes, size after decode=16588800 bytes, type=B, timestamp=0.934 seconds
frame #30: size before decode=124714 bytes, size after decode=16588800 bytes, type=B, timestamp=0.968 seconds
frame #31: size before decode=17178 bytes, size after decode=16588800 bytes, type=P, timestamp=1.001 seconds
frame #32: size before decode=15313 bytes, size after decode=16588800 bytes, type=B, timestamp=1.034 seconds
frame #33: size before decode=11276 bytes, size after decode=16588800 bytes, type=B, timestamp=1.068 seconds
frame #34: size before decode=127160 bytes, size after decode=16588800 bytes, type=B, timestamp=1.101 seconds
frame #35: size before decode=17934 bytes, size after decode=16588800 bytes, type=P, timestamp=1.134 seconds
frame #36: size before decode=16809 bytes, size after decode=16588800 bytes, type=B, timestamp=1.168 seconds
frame #37: size before decode=11936 bytes, size after decode=16588800 bytes, type=B, timestamp=1.201 seconds
frame #38: size before decode=126721 bytes, size after decode=16588800 bytes, type=B, timestamp=1.235 seconds
frame #39: size before decode=19005 bytes, size after decode=16588800 bytes, type=P, timestamp=1.268 seconds
frame #40: size before decode=16455 bytes, size after decode=16588800 bytes, type=B, timestamp=1.301 seconds
frame #41: size before decode=12962 bytes, size after decode=16588800 bytes, type=B, timestamp=1.335 seconds
frame #42: size before decode=57645 bytes, size after decode=16588800 bytes, type=B, timestamp=1.368 seconds
frame #43: size before decode=14787 bytes, size after decode=16588800 bytes, type=P, timestamp=1.401 seconds
frame #44: size before decode=11910 bytes, size after decode=16588800 bytes, type=B, timestamp=1.435 seconds
frame #45: size before decode=10407 bytes, size after decode=16588800 bytes, type=B, timestamp=1.468 seconds
frame #46: size before decode=76067 bytes, size after decode=16588800 bytes, type=B, timestamp=1.502 seconds
frame #47: size before decode=13305 bytes, size after decode=16588800 bytes, type=P, timestamp=1.535 seconds
frame #48: size before decode=12277 bytes, size after decode=16588800 bytes, type=B, timestamp=1.568 seconds
frame #49: size before decode=9655 bytes, size after decode=16588800 bytes, type=B, timestamp=1.602 seconds
frame #50: size before decode=135184 bytes, size after decode=16588800 bytes, type=B, timestamp=1.635 seconds
frame #51: size before decode=10001 bytes, size after decode=16588800 bytes, type=P, timestamp=1.668 seconds
frame #52: size before decode=7788 bytes, size after decode=16588800 bytes, type=B, timestamp=1.702 seconds
frame #53: size before decode=167872 bytes, size after decode=16588800 bytes, type=B, timestamp=1.735 seconds
frame #54: size before decode=14555 bytes, size after decode=16588800 bytes, type=P, timestamp=1.768 seconds
frame #55: size before decode=11842 bytes, size after decode=16588800 bytes, type=B, timestamp=1.802 seconds
frame #56: size before decode=9603 bytes, size after decode=16588800 bytes, type=B, timestamp=1.835 seconds
frame #57: size before decode=190457 bytes, size after decode=16588800 bytes, type=B, timestamp=1.869 seconds
frame #58: size before decode=18128 bytes, size after decode=16588800 bytes, type=P, timestamp=1.902 seconds
frame #59: size before decode=12766 bytes, size after decode=16588800 bytes, type=B, timestamp=1.935 seconds
frame #60: size before decode=10472 bytes, size after decode=16588800 bytes, type=B, timestamp=1.969 seconds
frame #61: size before decode=190866 bytes, size after decode=16588800 bytes, type=B, timestamp=2.002 seconds
frame #62: size before decode=17405 bytes, size after decode=16588800 bytes, type=P, timestamp=2.035 seconds
frame #63: size before decode=12673 bytes, size after decode=16588800 bytes, type=B, timestamp=2.069 seconds
frame #64: size before decode=11090 bytes, size after decode=16588800 bytes, type=B, timestamp=2.102 seconds
frame #65: size before decode=203970 bytes, size after decode=16588800 bytes, type=B, timestamp=2.135 seconds
frame #66: size before decode=17976 bytes, size after decode=16588800 bytes, type=P, timestamp=2.169 seconds
frame #67: size before decode=12947 bytes, size after decode=16588800 bytes, type=B, timestamp=2.202 seconds
frame #68: size before decode=10394 bytes, size after decode=16588800 bytes, type=B, timestamp=2.236 seconds
frame #69: size before decode=214016 bytes, size after decode=16588800 bytes, type=B, timestamp=2.269 seconds
frame #70: size before decode=18847 bytes, size after decode=16588800 bytes, type=P, timestamp=2.302 seconds
frame #71: size before decode=13898 bytes, size after decode=16588800 bytes, type=B, timestamp=2.336 seconds
frame #72: size before decode=11058 bytes, size after decode=16588800 bytes, type=B, timestamp=2.369 seconds
frame #73: size before decode=195949 bytes, size after decode=16588800 bytes, type=B, timestamp=2.402 seconds
frame #74: size before decode=21427 bytes, size after decode=16588800 bytes, type=P, timestamp=2.436 seconds
frame #75: size before decode=12573 bytes, size after decode=16588800 bytes, type=B, timestamp=2.469 seconds
frame #76: size before decode=11959 bytes, size after decode=16588800 bytes, type=B, timestamp=2.502 seconds
frame #77: size before decode=225600 bytes, size after decode=16588800 bytes, type=B, timestamp=2.536 seconds
frame #78: size before decode=21774 bytes, size after decode=16588800 bytes, type=P, timestamp=2.569 seconds
frame #79: size before decode=13463 bytes, size after decode=16588800 bytes, type=B, timestamp=2.603 seconds
frame #80: size before decode=13127 bytes, size after decode=16588800 bytes, type=B, timestamp=2.636 seconds
frame #81: size before decode=188914 bytes, size after decode=16588800 bytes, type=B, timestamp=2.669 seconds
frame #82: size before decode=21284 bytes, size after decode=16588800 bytes, type=P, timestamp=2.703 seconds
frame #83: size before decode=14623 bytes, size after decode=16588800 bytes, type=B, timestamp=2.736 seconds
frame #84: size before decode=12896 bytes, size after decode=16588800 bytes, type=B, timestamp=2.769 seconds
frame #85: size before decode=222311 bytes, size after decode=16588800 bytes, type=B, timestamp=2.803 seconds
frame #86: size before decode=21922 bytes, size after decode=16588800 bytes, type=P, timestamp=2.836 seconds
frame #87: size before decode=14442 bytes, size after decode=16588800 bytes, type=B, timestamp=2.870 seconds
frame #88: size before decode=13397 bytes, size after decode=16588800 bytes, type=B, timestamp=2.903 seconds
frame #89: size before decode=1536674 bytes, size after decode=16588800 bytes, type=B, timestamp=2.936 seconds
frame #90: size before decode=257183 bytes, size after decode=16588800 bytes, type=P, timestamp=2.970 seconds
frame #91: size before decode=18276 bytes, size after decode=16588800 bytes, type=I, timestamp=3.003 seconds
frame #92: size before decode=17492 bytes, size after decode=16588800 bytes, type=B, timestamp=3.036 seconds
frame #93: size before decode=289868 bytes, size after decode=16588800 bytes, type=B, timestamp=3.070 seconds
frame #94: size before decode=31328 bytes, size after decode=16588800 bytes, type=P, timestamp=3.103 seconds
frame #95: size before decode=17379 bytes, size after decode=16588800 bytes, type=B, timestamp=3.136 seconds
frame #96: size before decode=16091 bytes, size after decode=16588800 bytes, type=B, timestamp=3.170 seconds
frame #97: size before decode=227840 bytes, size after decode=16588800 bytes, type=B, timestamp=3.203 seconds
frame #98: size before decode=26951 bytes, size after decode=16588800 bytes, type=P, timestamp=3.237 seconds
frame #99: size before decode=14172 bytes, size after decode=16588800 bytes, type=B, timestamp=3.270 seconds
frame #100: size before decode=14158 bytes, size after decode=16588800 bytes, type=B, timestamp=3.303 seconds
frame #101: size before decode=240585 bytes, size after decode=16588800 bytes, type=B, timestamp=3.337 seconds
frame #102: size before decode=24206 bytes, size after decode=16588800 bytes, type=P, timestamp=3.370 seconds
frame #103: size before decode=13839 bytes, size after decode=16588800 bytes, type=B, timestamp=3.403 seconds
frame #104: size before decode=12714 bytes, size after decode=16588800 bytes, type=B, timestamp=3.437 seconds
frame #105: size before decode=253483 bytes, size after decode=16588800 bytes, type=B, timestamp=3.470 seconds
frame #106: size before decode=26611 bytes, size after decode=16588800 bytes, type=P, timestamp=3.504 seconds
