print meta info for videos/4907896-sd_640_360_30fps.mp4:
  duration time: 4.88 秒
  file size: 0.36 MB
  frame rate: 29.97 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=491 bytes, size after decode=460800 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=403 bytes, size after decode=460800 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=526 bytes, size after decode=460800 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=2319 bytes, size after decode=460800 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=773 bytes, size after decode=460800 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=571 bytes, size after decode=460800 bytes, type=B, timestamp=0.167 seconds
frame #7: size before decode=552 bytes, size after decode=460800 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=2504 bytes, size after decode=460800 bytes, type=B, timestamp=0.234 seconds
frame #9: size before decode=844 bytes, size after decode=460800 bytes, type=P, timestamp=0.267 seconds
frame #10: size before decode=469 bytes, size after decode=460800 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=600 bytes, size after decode=460800 bytes, type=B, timestamp=0.334 seconds
frame #12: size before decode=3090 bytes, size after decode=460800 bytes, type=B, timestamp=0.367 seconds
frame #13: size before decode=736 bytes, size after decode=460800 bytes, type=P, timestamp=0.400 seconds
frame #14: size before decode=520 bytes, size after decode=460800 bytes, type=B, timestamp=0.434 seconds
frame #15: size before decode=568 bytes, size after decode=460800 bytes, type=B, timestamp=0.467 seconds
frame #16: size before decode=3164 bytes, size after decode=460800 bytes, type=B, timestamp=0.501 seconds
frame #17: size before decode=776 bytes, size after decode=460800 bytes, type=P, timestamp=0.534 seconds
frame #18: size before decode=544 bytes, size after decode=460800 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=592 bytes, size after decode=460800 bytes, type=B, timestamp=0.601 seconds
frame #20: size before decode=3196 bytes, size after decode=460800 bytes, type=B, timestamp=0.634 seconds
frame #21: size before decode=871 bytes, size after decode=460800 bytes, type=P, timestamp=0.667 seconds
frame #22: size before decode=527 bytes, size after decode=460800 bytes, type=B, timestamp=0.701 seconds
frame #23: size before decode=563 bytes, size after decode=460800 bytes, type=B, timestamp=0.734 seconds
frame #24: size before decode=3117 bytes, size after decode=460800 bytes, type=B, timestamp=0.767 seconds
frame #25: size before decode=864 bytes, size after decode=460800 bytes, type=P, timestamp=0.801 seconds
frame #26: size before decode=525 bytes, size after decode=460800 bytes, type=B, timestamp=0.834 seconds
frame #27: size before decode=542 bytes, size after decode=460800 bytes, type=B, timestamp=0.868 seconds
frame #28: size before decode=3546 bytes, size after decode=460800 bytes, type=B, timestamp=0.901 seconds
frame #29: size before decode=913 bytes, size after decode=460800 bytes, type=P, timestamp=0.934 seconds
frame #30: size before decode=569 bytes, size after decode=460800 bytes, type=B, timestamp=0.968 seconds
frame #31: size before decode=535 bytes, size after decode=460800 bytes, type=B, timestamp=1.001 seconds
frame #32: size before decode=3830 bytes, size after decode=460800 bytes, type=B, timestamp=1.034 seconds
frame #33: size before decode=4148 bytes, size after decode=460800 bytes, type=P, timestamp=1.068 seconds
frame #34: size before decode=711 bytes, size after decode=460800 bytes, type=P, timestamp=1.101 seconds
frame #35: size before decode=549 bytes, size after decode=460800 bytes, type=B, timestamp=1.134 seconds
frame #36: size before decode=535 bytes, size after decode=460800 bytes, type=B, timestamp=1.168 seconds
frame #37: size before decode=4450 bytes, size after decode=460800 bytes, type=B, timestamp=1.201 seconds
frame #38: size before decode=804 bytes, size after decode=460800 bytes, type=P, timestamp=1.235 seconds
frame #39: size before decode=605 bytes, size after decode=460800 bytes, type=B, timestamp=1.268 seconds
frame #40: size before decode=577 bytes, size after decode=460800 bytes, type=B, timestamp=1.301 seconds
frame #41: size before decode=4467 bytes, size after decode=460800 bytes, type=B, timestamp=1.335 seconds
frame #42: size before decode=824 bytes, size after decode=460800 bytes, type=P, timestamp=1.368 seconds
frame #43: size before decode=599 bytes, size after decode=460800 bytes, type=B, timestamp=1.401 seconds
frame #44: size before decode=525 bytes, size after decode=460800 bytes, type=B, timestamp=1.435 seconds
frame #45: size before decode=4442 bytes, size after decode=460800 bytes, type=B, timestamp=1.468 seconds
frame #46: size before decode=715 bytes, size after decode=460800 bytes, type=P, timestamp=1.502 seconds
frame #47: size before decode=558 bytes, size after decode=460800 bytes, type=B, timestamp=1.535 seconds
frame #48: size before decode=4541 bytes, size after decode=460800 bytes, type=B, timestamp=1.568 seconds
frame #49: size before decode=796 bytes, size after decode=460800 bytes, type=P, timestamp=1.602 seconds
frame #50: size before decode=593 bytes, size after decode=460800 bytes, type=B, timestamp=1.635 seconds
frame #51: size before decode=607 bytes, size after decode=460800 bytes, type=B, timestamp=1.668 seconds
frame #52: size before decode=4246 bytes, size after decode=460800 bytes, type=B, timestamp=1.702 seconds
frame #53: size before decode=788 bytes, size after decode=460800 bytes, type=P, timestamp=1.735 seconds
frame #54: size before decode=583 bytes, size after decode=460800 bytes, type=B, timestamp=1.768 seconds
frame #55: size before decode=589 bytes, size after decode=460800 bytes, type=B, timestamp=1.802 seconds
frame #56: size before decode=3939 bytes, size after decode=460800 bytes, type=B, timestamp=1.835 seconds
frame #57: size before decode=766 bytes, size after decode=460800 bytes, type=P, timestamp=1.869 seconds
