print meta info for videos/SampleVideo_640x360_1mb.flv:
  duration time: 6.89 秒
  file size: 1.00 MB
  frame rate: 25.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=60475 bytes, size after decode=460800 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=750 bytes, size after decode=460800 bytes, type=P, timestamp=0.040 seconds
frame #3: size before decode=1382 bytes, size after decode=460800 bytes, type=P, timestamp=0.080 seconds
frame #4: size before decode=1488 bytes, size after decode=460800 bytes, type=P, timestamp=0.120 seconds
frame #5: size before decode=1819 bytes, size after decode=460800 bytes, type=P, timestamp=0.160 seconds
frame #6: size before decode=2534 bytes, size after decode=460800 bytes, type=P, timestamp=0.200 seconds
frame #7: size before decode=3340 bytes, size after decode=460800 bytes, type=P, timestamp=0.240 seconds
frame #8: size before decode=162 bytes, size after decode=460800 bytes, type=P, timestamp=0.280 seconds
frame #9: size before decode=3016 bytes, size after decode=460800 bytes, type=P, timestamp=0.320 seconds
frame #10: size before decode=3240 bytes, size after decode=460800 bytes, type=P, timestamp=0.360 seconds
frame #11: size before decode=3493 bytes, size after decode=460800 bytes, type=P, timestamp=0.400 seconds
frame #12: size before decode=3985 bytes, size after decode=460800 bytes, type=P, timestamp=0.440 seconds
frame #13: size before decode=4239 bytes, size after decode=460800 bytes, type=P, timestamp=0.480 seconds
frame #14: size before decode=4735 bytes, size after decode=460800 bytes, type=P, timestamp=0.520 seconds
frame #15: size before decode=4563 bytes, size after decode=460800 bytes, type=P, timestamp=0.560 seconds
frame #16: size before decode=4822 bytes, size after decode=460800 bytes, type=P, timestamp=0.600 seconds
frame #17: size before decode=4591 bytes, size after decode=460800 bytes, type=P, timestamp=0.640 seconds
frame #18: size before decode=5031 bytes, size after decode=460800 bytes, type=P, timestamp=0.680 seconds
frame #19: size before decode=5178 bytes, size after decode=460800 bytes, type=P, timestamp=0.720 seconds
frame #20: size before decode=5425 bytes, size after decode=460800 bytes, type=P, timestamp=0.760 seconds
frame #21: size before decode=5374 bytes, size after decode=460800 bytes, type=P, timestamp=0.800 seconds
frame #22: size before decode=5831 bytes, size after decode=460800 bytes, type=P, timestamp=0.840 seconds
frame #23: size before decode=5777 bytes, size after decode=460800 bytes, type=P, timestamp=0.880 seconds
