print meta info for videos/SampleVideo_640x360_2mb.mkv:
  duration time: 17.12 秒
  file size: 2.00 MB
  frame rate: 25.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=52741 bytes, size after decode=460800 bytes, type=I, timestamp=-9223372036854776.000 seconds
frame #2: size before decode=597 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #3: size before decode=1099 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #4: size before decode=1193 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #5: size before decode=1271 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #6: size before decode=1609 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #7: size before decode=2205 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #8: size before decode=300 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #9: size before decode=1957 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #10: size before decode=2041 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #11: size before decode=2192 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #12: size before decode=2739 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #13: size before decode=2974 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #14: size before decode=3415 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #15: size before decode=3359 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #16: size before decode=3652 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #17: size before decode=3516 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #18: size before decode=3648 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #19: size before decode=3915 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #20: size before decode=4084 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #21: size before decode=3972 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #22: size before decode=4337 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #23: size before decode=4319 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #24: size before decode=4467 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #25: size before decode=4109 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #26: size before decode=4188 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #27: size before decode=4090 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #28: size before decode=4532 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #29: size before decode=4019 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #30: size before decode=4528 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #31: size before decode=4281 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #32: size before decode=4716 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #33: size before decode=501 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #34: size before decode=3530 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #35: size before decode=3786 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #36: size before decode=3999 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #37: size before decode=4390 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #38: size before decode=4488 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #39: size before decode=4698 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #40: size before decode=5116 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #41: size before decode=4945 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #42: size before decode=4737 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #43: size before decode=4899 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #44: size before decode=4326 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #45: size before decode=4844 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #46: size before decode=4744 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #47: size before decode=4666 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #48: size before decode=4403 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #49: size before decode=4228 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #50: size before decode=4062 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #51: size before decode=3701 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #52: size before decode=3689 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #53: size before decode=3548 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #54: size before decode=3714 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #55: size before decode=3994 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #56: size before decode=3735 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #57: size before decode=4118 bytes, size after decode=460800 bytes, type=P, timestamp=-9223372036854776.000 seconds
frame #58: size before decode=513 bytes, size after decode=460800 bytes, type=P, timestamp=0.000 seconds
frame #59: size before decode=2904 bytes, size after decode=460800 bytes, type=P, timestamp=0.040 seconds
frame #60: size before decode=3606 bytes, size after decode=460800 bytes, type=P, timestamp=0.080 seconds
frame #61: size before decode=3512 bytes, size after decode=460800 bytes, type=P, timestamp=0.120 seconds
frame #62: size before decode=3736 bytes, size after decode=460800 bytes, type=P, timestamp=0.160 seconds
frame #63: size before decode=3621 bytes, size after decode=460800 bytes, type=P, timestamp=0.200 seconds
frame #64: size before decode=3702 bytes, size after decode=460800 bytes, type=P, timestamp=0.240 seconds
frame #65: size before decode=3604 bytes, size after decode=460800 bytes, type=P, timestamp=0.280 seconds
frame #66: size before decode=3778 bytes, size after decode=460800 bytes, type=P, timestamp=0.320 seconds
frame #67: size before decode=3774 bytes, size after decode=460800 bytes, type=P, timestamp=0.360 seconds
frame #68: size before decode=4047 bytes, size after decode=460800 bytes, type=P, timestamp=0.400 seconds
frame #69: size before decode=3839 bytes, size after decode=460800 bytes, type=P, timestamp=0.440 seconds
frame #70: size before decode=4259 bytes, size after decode=460800 bytes, type=P, timestamp=0.480 seconds
frame #71: size before decode=4210 bytes, size after decode=460800 bytes, type=P, timestamp=0.520 seconds
frame #72: size before decode=4117 bytes, size after decode=460800 bytes, type=P, timestamp=0.560 seconds
frame #73: size before decode=4416 bytes, size after decode=460800 bytes, type=P, timestamp=0.600 seconds
frame #74: size before decode=4321 bytes, size after decode=460800 bytes, type=P, timestamp=0.640 seconds
frame #75: size before decode=4463 bytes, size after decode=460800 bytes, type=P, timestamp=0.680 seconds
frame #76: size before decode=4593 bytes, size after decode=460800 bytes, type=P, timestamp=0.720 seconds
frame #77: size before decode=4526 bytes, size after decode=460800 bytes, type=P, timestamp=0.760 seconds
frame #78: size before decode=4909 bytes, size after decode=460800 bytes, type=P, timestamp=0.800 seconds
frame #79: size before decode=3624 bytes, size after decode=460800 bytes, type=P, timestamp=0.840 seconds
frame #80: size before decode=4787 bytes, size after decode=460800 bytes, type=P, timestamp=0.880 seconds
frame #81: size before decode=4249 bytes, size after decode=460800 bytes, type=P, timestamp=0.920 seconds
frame #82: size before decode=2900 bytes, size after decode=460800 bytes, type=P, timestamp=0.960 seconds
frame #83: size before decode=811 bytes, size after decode=460800 bytes, type=P, timestamp=1.000 seconds
frame #84: size before decode=3570 bytes, size after decode=460800 bytes, type=P, timestamp=1.040 seconds
frame #85: size before decode=4058 bytes, size after decode=460800 bytes, type=P, timestamp=1.080 seconds
frame #86: size before decode=1782 bytes, size after decode=460800 bytes, type=P, timestamp=1.120 seconds
frame #87: size before decode=2828 bytes, size after decode=460800 bytes, type=P, timestamp=1.160 seconds
frame #88: size before decode=2376 bytes, size after decode=460800 bytes, type=P, timestamp=1.200 seconds
frame #89: size before decode=3236 bytes, size after decode=460800 bytes, type=P, timestamp=1.240 seconds
frame #90: size before decode=1196 bytes, size after decode=460800 bytes, type=P, timestamp=1.280 seconds
frame #91: size before decode=1830 bytes, size after decode=460800 bytes, type=P, timestamp=1.320 seconds
frame #92: size before decode=1219 bytes, size after decode=460800 bytes, type=P, timestamp=1.360 seconds
frame #93: size before decode=857 bytes, size after decode=460800 bytes, type=P, timestamp=1.400 seconds
frame #94: size before decode=861 bytes, size after decode=460800 bytes, type=P, timestamp=1.440 seconds
frame #95: size before decode=904 bytes, size after decode=460800 bytes, type=P, timestamp=1.480 seconds
frame #96: size before decode=760 bytes, size after decode=460800 bytes, type=P, timestamp=1.520 seconds
frame #97: size before decode=808 bytes, size after decode=460800 bytes, type=P, timestamp=1.560 seconds
frame #98: size before decode=1430 bytes, size after decode=460800 bytes, type=P, timestamp=1.600 seconds
frame #99: size before decode=1160 bytes, size after decode=460800 bytes, type=P, timestamp=1.640 seconds
frame #100: size before decode=1286 bytes, size after decode=460800 bytes, type=P, timestamp=1.680 seconds
frame #101: size before decode=1224 bytes, size after decode=460800 bytes, type=P, timestamp=1.720 seconds
frame #102: size before decode=1569 bytes, size after decode=460800 bytes, type=P, timestamp=1.760 seconds
frame #103: size before decode=1256 bytes, size after decode=460800 bytes, type=P, timestamp=1.800 seconds
frame #104: size before decode=1830 bytes, size after decode=460800 bytes, type=P, timestamp=1.840 seconds
frame #105: size before decode=2466 bytes, size after decode=460800 bytes, type=P, timestamp=1.880 seconds
frame #106: size before decode=2817 bytes, size after decode=460800 bytes, type=P, timestamp=1.920 seconds
frame #107: size before decode=3533 bytes, size after decode=460800 bytes, type=P, timestamp=1.960 seconds
frame #108: size before decode=420 bytes, size after decode=460800 bytes, type=P, timestamp=2.000 seconds
frame #109: size before decode=2670 bytes, size after decode=460800 bytes, type=P, timestamp=2.040 seconds
frame #110: size before decode=2751 bytes, size after decode=460800 bytes, type=P, timestamp=2.080 seconds
frame #111: size before decode=2978 bytes, size after decode=460800 bytes, type=P, timestamp=2.120 seconds
frame #112: size before decode=2784 bytes, size after decode=460800 bytes, type=P, timestamp=2.160 seconds
frame #113: size before decode=2934 bytes, size after decode=460800 bytes, type=P, timestamp=2.200 seconds
frame #114: size before decode=3403 bytes, size after decode=460800 bytes, type=P, timestamp=2.240 seconds
frame #115: size before decode=1441 bytes, size after decode=460800 bytes, type=P, timestamp=2.280 seconds
frame #116: size before decode=1425 bytes, size after decode=460800 bytes, type=P, timestamp=2.320 seconds
frame #117: size before decode=2178 bytes, size after decode=460800 bytes, type=P, timestamp=2.360 seconds
frame #118: size before decode=911 bytes, size after decode=460800 bytes, type=P, timestamp=2.400 seconds
frame #119: size before decode=1230 bytes, size after decode=460800 bytes, type=P, timestamp=2.440 seconds
frame #120: size before decode=2091 bytes, size after decode=460800 bytes, type=P, timestamp=2.480 seconds
frame #121: size before decode=1801 bytes, size after decode=460800 bytes, type=P, timestamp=2.520 seconds
frame #122: size before decode=2137 bytes, size after decode=460800 bytes, type=P, timestamp=2.560 seconds
frame #123: size before decode=1103 bytes, size after decode=460800 bytes, type=P, timestamp=2.600 seconds
frame #124: size before decode=1242 bytes, size after decode=460800 bytes, type=P, timestamp=2.640 seconds
frame #125: size before decode=1440 bytes, size after decode=460800 bytes, type=P, timestamp=2.680 seconds
frame #126: size before decode=2075 bytes, size after decode=460800 bytes, type=P, timestamp=2.720 seconds
frame #127: size before decode=1221 bytes, size after decode=460800 bytes, type=P, timestamp=2.760 seconds
frame #128: size before decode=1089 bytes, size after decode=460800 bytes, type=P, timestamp=2.800 seconds
frame #129: size before decode=1970 bytes, size after decode=460800 bytes, type=P, timestamp=2.840 seconds
frame #130: size before decode=2298 bytes, size after decode=460800 bytes, type=P, timestamp=2.880 seconds
frame #131: size before decode=2590 bytes, size after decode=460800 bytes, type=P, timestamp=2.920 seconds
frame #132: size before decode=2850 bytes, size after decode=460800 bytes, type=P, timestamp=2.960 seconds
frame #133: size before decode=526 bytes, size after decode=460800 bytes, type=P, timestamp=3.000 seconds
frame #134: size before decode=2558 bytes, size after decode=460800 bytes, type=P, timestamp=3.040 seconds
frame #135: size before decode=2972 bytes, size after decode=460800 bytes, type=P, timestamp=3.080 seconds
frame #136: size before decode=3435 bytes, size after decode=460800 bytes, type=P, timestamp=3.120 seconds
frame #137: size before decode=3240 bytes, size after decode=460800 bytes, type=P, timestamp=3.160 seconds
