print meta info for videos/SampleVideo_640x360_2mb.mp4:
  duration time: 15.19 秒
  file size: 2.01 MB
  frame rate: 25.00 fps
  decoder: MPEG-4 part 2

帧类型与大小统计:
frame #1: size before decode=35660 bytes, size after decode=471040 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=4000 bytes, size after decode=471040 bytes, type=P, timestamp=0.040 seconds
frame #3: size before decode=5934 bytes, size after decode=471040 bytes, type=P, timestamp=0.080 seconds
frame #4: size before decode=6040 bytes, size after decode=471040 bytes, type=P, timestamp=0.120 seconds
frame #5: size before decode=6285 bytes, size after decode=471040 bytes, type=P, timestamp=0.160 seconds
frame #6: size before decode=5886 bytes, size after decode=471040 bytes, type=P, timestamp=0.200 seconds
frame #7: size before decode=5266 bytes, size after decode=471040 bytes, type=P, timestamp=0.240 seconds
frame #8: size before decode=5932 bytes, size after decode=471040 bytes, type=P, timestamp=0.280 seconds
frame #9: size before decode=1914 bytes, size after decode=471040 bytes, type=P, timestamp=0.320 seconds
frame #10: size before decode=8130 bytes, size after decode=471040 bytes, type=P, timestamp=0.360 seconds
frame #11: size before decode=6529 bytes, size after decode=471040 bytes, type=P, timestamp=0.400 seconds
frame #12: size before decode=6246 bytes, size after decode=471040 bytes, type=P, timestamp=0.440 seconds
frame #13: size before decode=5475 bytes, size after decode=471040 bytes, type=P, timestamp=0.480 seconds
frame #14: size before decode=6084 bytes, size after decode=471040 bytes, type=P, timestamp=0.520 seconds
frame #15: size before decode=6045 bytes, size after decode=471040 bytes, type=P, timestamp=0.560 seconds
frame #16: size before decode=6151 bytes, size after decode=471040 bytes, type=P, timestamp=0.600 seconds
frame #17: size before decode=6149 bytes, size after decode=471040 bytes, type=P, timestamp=0.640 seconds
frame #18: size before decode=5553 bytes, size after decode=471040 bytes, type=P, timestamp=0.680 seconds
frame #19: size before decode=6110 bytes, size after decode=471040 bytes, type=P, timestamp=0.720 seconds
frame #20: size before decode=6109 bytes, size after decode=471040 bytes, type=P, timestamp=0.760 seconds
frame #21: size before decode=6209 bytes, size after decode=471040 bytes, type=P, timestamp=0.800 seconds
frame #22: size before decode=5802 bytes, size after decode=471040 bytes, type=P, timestamp=0.840 seconds
frame #23: size before decode=5782 bytes, size after decode=471040 bytes, type=P, timestamp=0.880 seconds
frame #24: size before decode=5470 bytes, size after decode=471040 bytes, type=P, timestamp=0.920 seconds
frame #25: size before decode=5860 bytes, size after decode=471040 bytes, type=P, timestamp=0.960 seconds
frame #26: size before decode=5384 bytes, size after decode=471040 bytes, type=P, timestamp=1.000 seconds
frame #27: size before decode=5537 bytes, size after decode=471040 bytes, type=P, timestamp=1.040 seconds
frame #28: size before decode=5249 bytes, size after decode=471040 bytes, type=P, timestamp=1.080 seconds
frame #29: size before decode=5266 bytes, size after decode=471040 bytes, type=P, timestamp=1.120 seconds
frame #30: size before decode=5113 bytes, size after decode=471040 bytes, type=P, timestamp=1.160 seconds
frame #31: size before decode=5110 bytes, size after decode=471040 bytes, type=P, timestamp=1.200 seconds
frame #32: size before decode=5072 bytes, size after decode=471040 bytes, type=P, timestamp=1.240 seconds
frame #33: size before decode=4894 bytes, size after decode=471040 bytes, type=P, timestamp=1.280 seconds
frame #34: size before decode=1714 bytes, size after decode=471040 bytes, type=P, timestamp=1.320 seconds
