print meta info for videos/SampleVideo_720x480_10mb.mkv:
  duration time: 69.68 秒
  file size: 10.08 MB
  frame rate: 25.00 fps
  decoder: MPEG-4 part 2

帧类型与大小统计:
frame #1: size before decode=31902 bytes, size after decode=737280 bytes, type=I, timestamp=-1.400 seconds
frame #2: size before decode=3165 bytes, size after decode=737280 bytes, type=P, timestamp=-1.360 seconds
frame #3: size before decode=4392 bytes, size after decode=737280 bytes, type=P, timestamp=-1.320 seconds
frame #4: size before decode=4858 bytes, size after decode=737280 bytes, type=P, timestamp=-1.280 seconds
frame #5: size before decode=4868 bytes, size after decode=737280 bytes, type=P, timestamp=-1.240 seconds
frame #6: size before decode=4707 bytes, size after decode=737280 bytes, type=P, timestamp=-1.200 seconds
frame #7: size before decode=4627 bytes, size after decode=737280 bytes, type=P, timestamp=-1.160 seconds
frame #8: size before decode=4800 bytes, size after decode=737280 bytes, type=P, timestamp=-1.120 seconds
frame #9: size before decode=4719 bytes, size after decode=737280 bytes, type=P, timestamp=-1.080 seconds
frame #10: size before decode=4684 bytes, size after decode=737280 bytes, type=P, timestamp=-1.040 seconds
frame #11: size before decode=1308 bytes, size after decode=737280 bytes, type=P, timestamp=-1.000 seconds
frame #12: size before decode=7980 bytes, size after decode=737280 bytes, type=P, timestamp=-0.960 seconds
frame #13: size before decode=4066 bytes, size after decode=737280 bytes, type=P, timestamp=-0.920 seconds
frame #14: size before decode=4982 bytes, size after decode=737280 bytes, type=P, timestamp=-0.880 seconds
frame #15: size before decode=4425 bytes, size after decode=737280 bytes, type=P, timestamp=-0.840 seconds
frame #16: size before decode=4941 bytes, size after decode=737280 bytes, type=P, timestamp=-0.800 seconds
frame #17: size before decode=4719 bytes, size after decode=737280 bytes, type=P, timestamp=-0.760 seconds
frame #18: size before decode=4953 bytes, size after decode=737280 bytes, type=P, timestamp=-0.720 seconds
frame #19: size before decode=5233 bytes, size after decode=737280 bytes, type=P, timestamp=-0.680 seconds
frame #20: size before decode=4935 bytes, size after decode=737280 bytes, type=P, timestamp=-0.640 seconds
frame #21: size before decode=4743 bytes, size after decode=737280 bytes, type=P, timestamp=-0.600 seconds
frame #22: size before decode=4846 bytes, size after decode=737280 bytes, type=P, timestamp=-0.560 seconds
frame #23: size before decode=4815 bytes, size after decode=737280 bytes, type=P, timestamp=-0.520 seconds
frame #24: size before decode=4495 bytes, size after decode=737280 bytes, type=P, timestamp=-0.480 seconds
frame #25: size before decode=4569 bytes, size after decode=737280 bytes, type=P, timestamp=-0.440 seconds
frame #26: size before decode=4695 bytes, size after decode=737280 bytes, type=P, timestamp=-0.400 seconds
frame #27: size before decode=4626 bytes, size after decode=737280 bytes, type=P, timestamp=-0.360 seconds
frame #28: size before decode=4663 bytes, size after decode=737280 bytes, type=P, timestamp=-0.320 seconds
frame #29: size before decode=4136 bytes, size after decode=737280 bytes, type=P, timestamp=-0.280 seconds
frame #30: size before decode=4180 bytes, size after decode=737280 bytes, type=P, timestamp=-0.240 seconds
frame #31: size before decode=4264 bytes, size after decode=737280 bytes, type=P, timestamp=-0.200 seconds
frame #32: size before decode=4036 bytes, size after decode=737280 bytes, type=P, timestamp=-0.160 seconds
frame #33: size before decode=4522 bytes, size after decode=737280 bytes, type=P, timestamp=-0.120 seconds
frame #34: size before decode=4271 bytes, size after decode=737280 bytes, type=P, timestamp=-0.080 seconds
frame #35: size before decode=4071 bytes, size after decode=737280 bytes, type=P, timestamp=-0.040 seconds
frame #36: size before decode=1075 bytes, size after decode=737280 bytes, type=P, timestamp=0.000 seconds
frame #37: size before decode=7143 bytes, size after decode=737280 bytes, type=P, timestamp=0.040 seconds
frame #38: size before decode=3267 bytes, size after decode=737280 bytes, type=P, timestamp=0.080 seconds
frame #39: size before decode=3780 bytes, size after decode=737280 bytes, type=P, timestamp=0.120 seconds
frame #40: size before decode=3782 bytes, size after decode=737280 bytes, type=P, timestamp=0.160 seconds
frame #41: size before decode=4018 bytes, size after decode=737280 bytes, type=P, timestamp=0.200 seconds
frame #42: size before decode=3821 bytes, size after decode=737280 bytes, type=P, timestamp=0.240 seconds
frame #43: size before decode=3669 bytes, size after decode=737280 bytes, type=P, timestamp=0.280 seconds
frame #44: size before decode=3861 bytes, size after decode=737280 bytes, type=P, timestamp=0.320 seconds
frame #45: size before decode=3549 bytes, size after decode=737280 bytes, type=P, timestamp=0.360 seconds
frame #46: size before decode=3643 bytes, size after decode=737280 bytes, type=P, timestamp=0.400 seconds
frame #47: size before decode=3631 bytes, size after decode=737280 bytes, type=P, timestamp=0.440 seconds
frame #48: size before decode=4696 bytes, size after decode=737280 bytes, type=P, timestamp=0.480 seconds
frame #49: size before decode=2768 bytes, size after decode=737280 bytes, type=P, timestamp=0.520 seconds
frame #50: size before decode=4279 bytes, size after decode=737280 bytes, type=P, timestamp=0.560 seconds
frame #51: size before decode=2571 bytes, size after decode=737280 bytes, type=P, timestamp=0.600 seconds
frame #52: size before decode=4343 bytes, size after decode=737280 bytes, type=P, timestamp=0.640 seconds
frame #53: size before decode=3457 bytes, size after decode=737280 bytes, type=P, timestamp=0.680 seconds
frame #54: size before decode=3156 bytes, size after decode=737280 bytes, type=P, timestamp=0.720 seconds
frame #55: size before decode=3559 bytes, size after decode=737280 bytes, type=P, timestamp=0.760 seconds
frame #56: size before decode=3333 bytes, size after decode=737280 bytes, type=P, timestamp=0.800 seconds
frame #57: size before decode=2739 bytes, size after decode=737280 bytes, type=P, timestamp=0.840 seconds
frame #58: size before decode=3669 bytes, size after decode=737280 bytes, type=P, timestamp=0.880 seconds
frame #59: size before decode=2995 bytes, size after decode=737280 bytes, type=P, timestamp=0.920 seconds
frame #60: size before decode=2298 bytes, size after decode=737280 bytes, type=P, timestamp=0.960 seconds
frame #61: size before decode=2440 bytes, size after decode=737280 bytes, type=P, timestamp=1.000 seconds
frame #62: size before decode=4211 bytes, size after decode=737280 bytes, type=P, timestamp=1.040 seconds
frame #63: size before decode=2691 bytes, size after decode=737280 bytes, type=P, timestamp=1.080 seconds
frame #64: size before decode=1671 bytes, size after decode=737280 bytes, type=P, timestamp=1.120 seconds
frame #65: size before decode=3768 bytes, size after decode=737280 bytes, type=P, timestamp=1.160 seconds
frame #66: size before decode=1865 bytes, size after decode=737280 bytes, type=P, timestamp=1.200 seconds
frame #67: size before decode=3148 bytes, size after decode=737280 bytes, type=P, timestamp=1.240 seconds
frame #68: size before decode=1105 bytes, size after decode=737280 bytes, type=P, timestamp=1.280 seconds
frame #69: size before decode=8049 bytes, size after decode=737280 bytes, type=P, timestamp=1.320 seconds
frame #70: size before decode=680 bytes, size after decode=737280 bytes, type=P, timestamp=1.360 seconds
frame #71: size before decode=1152 bytes, size after decode=737280 bytes, type=P, timestamp=1.400 seconds
frame #72: size before decode=3019 bytes, size after decode=737280 bytes, type=P, timestamp=1.440 seconds
frame #73: size before decode=1624 bytes, size after decode=737280 bytes, type=P, timestamp=1.480 seconds
frame #74: size before decode=2848 bytes, size after decode=737280 bytes, type=P, timestamp=1.520 seconds
frame #75: size before decode=1730 bytes, size after decode=737280 bytes, type=P, timestamp=1.560 seconds
frame #76: size before decode=3209 bytes, size after decode=737280 bytes, type=P, timestamp=1.600 seconds
frame #77: size before decode=1696 bytes, size after decode=737280 bytes, type=P, timestamp=1.640 seconds
frame #78: size before decode=2459 bytes, size after decode=737280 bytes, type=P, timestamp=1.680 seconds
frame #79: size before decode=2327 bytes, size after decode=737280 bytes, type=P, timestamp=1.720 seconds
frame #80: size before decode=2628 bytes, size after decode=737280 bytes, type=P, timestamp=1.760 seconds
frame #81: size before decode=2399 bytes, size after decode=737280 bytes, type=P, timestamp=1.800 seconds
frame #82: size before decode=3195 bytes, size after decode=737280 bytes, type=P, timestamp=1.840 seconds
frame #83: size before decode=3477 bytes, size after decode=737280 bytes, type=P, timestamp=1.880 seconds
frame #84: size before decode=3502 bytes, size after decode=737280 bytes, type=P, timestamp=1.920 seconds
frame #85: size before decode=3061 bytes, size after decode=737280 bytes, type=P, timestamp=1.960 seconds
frame #86: size before decode=1519 bytes, size after decode=737280 bytes, type=P, timestamp=2.000 seconds
frame #87: size before decode=3914 bytes, size after decode=737280 bytes, type=P, timestamp=2.040 seconds
frame #88: size before decode=3479 bytes, size after decode=737280 bytes, type=P, timestamp=2.080 seconds
frame #89: size before decode=3549 bytes, size after decode=737280 bytes, type=P, timestamp=2.120 seconds
frame #90: size before decode=3309 bytes, size after decode=737280 bytes, type=P, timestamp=2.160 seconds
frame #91: size before decode=3076 bytes, size after decode=737280 bytes, type=P, timestamp=2.200 seconds
frame #92: size before decode=4329 bytes, size after decode=737280 bytes, type=P, timestamp=2.240 seconds
frame #93: size before decode=1816 bytes, size after decode=737280 bytes, type=P, timestamp=2.280 seconds
frame #94: size before decode=3322 bytes, size after decode=737280 bytes, type=P, timestamp=2.320 seconds
frame #95: size before decode=3403 bytes, size after decode=737280 bytes, type=P, timestamp=2.360 seconds
frame #96: size before decode=1185 bytes, size after decode=737280 bytes, type=P, timestamp=2.400 seconds
frame #97: size before decode=3618 bytes, size after decode=737280 bytes, type=P, timestamp=2.440 seconds
frame #98: size before decode=2855 bytes, size after decode=737280 bytes, type=P, timestamp=2.480 seconds
frame #99: size before decode=2743 bytes, size after decode=737280 bytes, type=P, timestamp=2.520 seconds
frame #100: size before decode=3458 bytes, size after decode=737280 bytes, type=P, timestamp=2.560 seconds
frame #101: size before decode=1390 bytes, size after decode=737280 bytes, type=P, timestamp=2.600 seconds
