print meta info for videos/pilot.flv:
  duration time: 31.19 秒
  file size: 11.44 MB
  frame rate: 30.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=1613 bytes, size after decode=4147200 bytes, type=I, timestamp=0.100 seconds
frame #2: size before decode=558 bytes, size after decode=4147200 bytes, type=B, timestamp=0.133 seconds
frame #3: size before decode=1842 bytes, size after decode=4147200 bytes, type=B, timestamp=0.200 seconds
frame #4: size before decode=13366 bytes, size after decode=4147200 bytes, type=B, timestamp=0.233 seconds
frame #5: size before decode=3335 bytes, size after decode=4147200 bytes, type=P, timestamp=0.267 seconds
frame #6: size before decode=542 bytes, size after decode=4147200 bytes, type=B, timestamp=0.300 seconds
frame #7: size before decode=994 bytes, size after decode=4147200 bytes, type=B, timestamp=0.367 seconds
frame #8: size before decode=28948 bytes, size after decode=4147200 bytes, type=B, timestamp=0.400 seconds
frame #9: size before decode=3779 bytes, size after decode=4147200 bytes, type=P, timestamp=0.433 seconds
frame #10: size before decode=1261 bytes, size after decode=4147200 bytes, type=B, timestamp=0.467 seconds
frame #11: size before decode=2014 bytes, size after decode=4147200 bytes, type=B, timestamp=0.533 seconds
frame #12: size before decode=29779 bytes, size after decode=4147200 bytes, type=B, timestamp=0.567 seconds
frame #13: size before decode=4479 bytes, size after decode=4147200 bytes, type=P, timestamp=0.600 seconds
frame #14: size before decode=3528 bytes, size after decode=4147200 bytes, type=B, timestamp=0.633 seconds
frame #15: size before decode=48214 bytes, size after decode=4147200 bytes, type=B, timestamp=0.700 seconds
frame #16: size before decode=25018 bytes, size after decode=4147200 bytes, type=P, timestamp=0.733 seconds
frame #17: size before decode=6389 bytes, size after decode=4147200 bytes, type=I, timestamp=0.767 seconds
frame #18: size before decode=1917 bytes, size after decode=4147200 bytes, type=B, timestamp=0.800 seconds
frame #19: size before decode=2070 bytes, size after decode=4147200 bytes, type=B, timestamp=0.867 seconds
frame #20: size before decode=39124 bytes, size after decode=4147200 bytes, type=B, timestamp=0.900 seconds
frame #21: size before decode=5785 bytes, size after decode=4147200 bytes, type=P, timestamp=0.933 seconds
frame #22: size before decode=4264 bytes, size after decode=4147200 bytes, type=B, timestamp=0.967 seconds
frame #23: size before decode=3681 bytes, size after decode=4147200 bytes, type=B, timestamp=1.033 seconds
frame #24: size before decode=28658 bytes, size after decode=4147200 bytes, type=B, timestamp=1.067 seconds
frame #25: size before decode=7285 bytes, size after decode=4147200 bytes, type=P, timestamp=1.100 seconds
