print meta info for videos/sample_1280x720.flv:
  duration time: 28.24 秒
  file size: 4.71 MB
  frame rate: 23.98 fps
  decoder: FLV / Sorenson Spark / Sorenson H.263 (Flash Video)

帧类型与大小统计:
frame #1: size before decode=176361 bytes, size after decode=1843200 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=233836 bytes, size after decode=1843200 bytes, type=P, timestamp=0.042 seconds
frame #3: size before decode=121636 bytes, size after decode=1843200 bytes, type=P, timestamp=0.083 seconds
frame #4: size before decode=57675 bytes, size after decode=1843200 bytes, type=P, timestamp=0.125 seconds
frame #5: size before decode=23308 bytes, size after decode=1843200 bytes, type=P, timestamp=0.167 seconds
frame #6: size before decode=7986 bytes, size after decode=1843200 bytes, type=P, timestamp=0.209 seconds
frame #7: size before decode=13075 bytes, size after decode=1843200 bytes, type=P, timestamp=0.250 seconds
frame #8: size before decode=6751 bytes, size after decode=1843200 bytes, type=P, timestamp=0.292 seconds
frame #9: size before decode=3917 bytes, size after decode=1843200 bytes, type=P, timestamp=0.334 seconds
frame #10: size before decode=3838 bytes, size after decode=1843200 bytes, type=P, timestamp=0.375 seconds
frame #11: size before decode=4335 bytes, size after decode=1843200 bytes, type=P, timestamp=0.417 seconds
frame #12: size before decode=2382 bytes, size after decode=1843200 bytes, type=P, timestamp=0.459 seconds
frame #13: size before decode=45532 bytes, size after decode=1843200 bytes, type=I, timestamp=0.501 seconds
frame #14: size before decode=1533 bytes, size after decode=1843200 bytes, type=P, timestamp=0.542 seconds
frame #15: size before decode=2394 bytes, size after decode=1843200 bytes, type=P, timestamp=0.584 seconds
frame #16: size before decode=2323 bytes, size after decode=1843200 bytes, type=P, timestamp=0.626 seconds
frame #17: size before decode=2187 bytes, size after decode=1843200 bytes, type=P, timestamp=0.667 seconds
frame #18: size before decode=2087 bytes, size after decode=1843200 bytes, type=P, timestamp=0.709 seconds
frame #19: size before decode=3611 bytes, size after decode=1843200 bytes, type=P, timestamp=0.751 seconds
frame #20: size before decode=2734 bytes, size after decode=1843200 bytes, type=P, timestamp=0.792 seconds
frame #21: size before decode=2200 bytes, size after decode=1843200 bytes, type=P, timestamp=0.834 seconds
frame #22: size before decode=3381 bytes, size after decode=1843200 bytes, type=P, timestamp=0.876 seconds
frame #23: size before decode=4497 bytes, size after decode=1843200 bytes, type=P, timestamp=0.918 seconds
frame #24: size before decode=2230 bytes, size after decode=1843200 bytes, type=P, timestamp=0.959 seconds
frame #25: size before decode=43603 bytes, size after decode=1843200 bytes, type=I, timestamp=1.001 seconds
frame #26: size before decode=1856 bytes, size after decode=1843200 bytes, type=P, timestamp=1.043 seconds
frame #27: size before decode=2095 bytes, size after decode=1843200 bytes, type=P, timestamp=1.084 seconds
frame #28: size before decode=1779 bytes, size after decode=1843200 bytes, type=P, timestamp=1.126 seconds
frame #29: size before decode=2280 bytes, size after decode=1843200 bytes, type=P, timestamp=1.168 seconds
frame #30: size before decode=3178 bytes, size after decode=1843200 bytes, type=P, timestamp=1.210 seconds
frame #31: size before decode=3051 bytes, size after decode=1843200 bytes, type=P, timestamp=1.251 seconds
frame #32: size before decode=2256 bytes, size after decode=1843200 bytes, type=P, timestamp=1.293 seconds
frame #33: size before decode=2642 bytes, size after decode=1843200 bytes, type=P, timestamp=1.335 seconds
frame #34: size before decode=3005 bytes, size after decode=1843200 bytes, type=P, timestamp=1.376 seconds
frame #35: size before decode=3479 bytes, size after decode=1843200 bytes, type=P, timestamp=1.418 seconds
frame #36: size before decode=3436 bytes, size after decode=1843200 bytes, type=P, timestamp=1.460 seconds
frame #37: size before decode=43803 bytes, size after decode=1843200 bytes, type=I, timestamp=1.502 seconds
frame #38: size before decode=1632 bytes, size after decode=1843200 bytes, type=P, timestamp=1.543 seconds
frame #39: size before decode=2445 bytes, size after decode=1843200 bytes, type=P, timestamp=1.585 seconds
frame #40: size before decode=1916 bytes, size after decode=1843200 bytes, type=P, timestamp=1.627 seconds
frame #41: size before decode=1860 bytes, size after decode=1843200 bytes, type=P, timestamp=1.668 seconds
frame #42: size before decode=2650 bytes, size after decode=1843200 bytes, type=P, timestamp=1.710 seconds
frame #43: size before decode=3504 bytes, size after decode=1843200 bytes, type=P, timestamp=1.752 seconds
frame #44: size before decode=2333 bytes, size after decode=1843200 bytes, type=P, timestamp=1.793 seconds
frame #45: size before decode=2823 bytes, size after decode=1843200 bytes, type=P, timestamp=1.835 seconds
frame #46: size before decode=3018 bytes, size after decode=1843200 bytes, type=P, timestamp=1.877 seconds
frame #47: size before decode=3561 bytes, size after decode=1843200 bytes, type=P, timestamp=1.919 seconds
frame #48: size before decode=2508 bytes, size after decode=1843200 bytes, type=P, timestamp=1.960 seconds
frame #49: size before decode=43790 bytes, size after decode=1843200 bytes, type=I, timestamp=2.002 seconds
frame #50: size before decode=1709 bytes, size after decode=1843200 bytes, type=P, timestamp=2.044 seconds
frame #51: size before decode=1990 bytes, size after decode=1843200 bytes, type=P, timestamp=2.085 seconds
frame #52: size before decode=1668 bytes, size after decode=1843200 bytes, type=P, timestamp=2.127 seconds
frame #53: size before decode=2115 bytes, size after decode=1843200 bytes, type=P, timestamp=2.169 seconds
frame #54: size before decode=1655 bytes, size after decode=1843200 bytes, type=P, timestamp=2.211 seconds
frame #55: size before decode=3869 bytes, size after decode=1843200 bytes, type=P, timestamp=2.252 seconds
frame #56: size before decode=1877 bytes, size after decode=1843200 bytes, type=P, timestamp=2.294 seconds
frame #57: size before decode=2509 bytes, size after decode=1843200 bytes, type=P, timestamp=2.336 seconds
