print meta info for videos/sample_1280x720_surfing_with_audio.flv:
  duration time: 183.15 秒
  file size: 36.43 MB
  frame rate: 23.98 fps
  decoder: FLV / Sorenson Spark / Sorenson H.263 (Flash Video)

帧类型与大小统计:
frame #1: size before decode=23860 bytes, size after decode=1843200 bytes, type=I, timestamp=0.023 seconds
frame #2: size before decode=460 bytes, size after decode=1843200 bytes, type=P, timestamp=0.065 seconds
frame #3: size before decode=460 bytes, size after decode=1843200 bytes, type=P, timestamp=0.106 seconds
frame #4: size before decode=460 bytes, size after decode=1843200 bytes, type=P, timestamp=0.148 seconds
frame #5: size before decode=460 bytes, size after decode=1843200 bytes, type=P, timestamp=0.190 seconds
frame #6: size before decode=460 bytes, size after decode=1843200 bytes, type=P, timestamp=0.232 seconds
frame #7: size before decode=460 bytes, size after decode=1843200 bytes, type=P, timestamp=0.273 seconds
frame #8: size before decode=293803 bytes, size after decode=1843200 bytes, type=I, timestamp=0.315 seconds
frame #9: size before decode=277512 bytes, size after decode=1843200 bytes, type=P, timestamp=0.357 seconds
frame #10: size before decode=278791 bytes, size after decode=1843200 bytes, type=P, timestamp=0.398 seconds
frame #11: size before decode=150411 bytes, size after decode=1843200 bytes, type=P, timestamp=0.440 seconds
frame #12: size before decode=89929 bytes, size after decode=1843200 bytes, type=P, timestamp=0.482 seconds
frame #13: size before decode=65142 bytes, size after decode=1843200 bytes, type=P, timestamp=0.524 seconds
frame #14: size before decode=54391 bytes, size after decode=1843200 bytes, type=P, timestamp=0.565 seconds
frame #15: size before decode=45795 bytes, size after decode=1843200 bytes, type=P, timestamp=0.607 seconds
frame #16: size before decode=42339 bytes, size after decode=1843200 bytes, type=P, timestamp=0.649 seconds
frame #17: size before decode=37724 bytes, size after decode=1843200 bytes, type=P, timestamp=0.690 seconds
frame #18: size before decode=35039 bytes, size after decode=1843200 bytes, type=P, timestamp=0.732 seconds
frame #19: size before decode=31991 bytes, size after decode=1843200 bytes, type=P, timestamp=0.774 seconds
frame #20: size before decode=37453 bytes, size after decode=1843200 bytes, type=I, timestamp=0.815 seconds
frame #21: size before decode=30515 bytes, size after decode=1843200 bytes, type=P, timestamp=0.857 seconds
frame #22: size before decode=29463 bytes, size after decode=1843200 bytes, type=P, timestamp=0.899 seconds
frame #23: size before decode=29319 bytes, size after decode=1843200 bytes, type=P, timestamp=0.941 seconds
frame #24: size before decode=29144 bytes, size after decode=1843200 bytes, type=P, timestamp=0.982 seconds
frame #25: size before decode=28715 bytes, size after decode=1843200 bytes, type=P, timestamp=1.024 seconds
frame #26: size before decode=28552 bytes, size after decode=1843200 bytes, type=P, timestamp=1.066 seconds
