print meta info for videos/sample_1920x1080.mp4:
  duration time: 28.24 秒
  file size: 36.48 MB
  frame rate: 23.98 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=14570 bytes, size after decode=4147200 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=5223 bytes, size after decode=4147200 bytes, type=B, timestamp=0.042 seconds
frame #3: size before decode=3412 bytes, size after decode=4147200 bytes, type=B, timestamp=0.083 seconds
frame #4: size before decode=77187 bytes, size after decode=4147200 bytes, type=B, timestamp=0.125 seconds
frame #5: size before decode=16102 bytes, size after decode=4147200 bytes, type=P, timestamp=0.167 seconds
frame #6: size before decode=7028 bytes, size after decode=4147200 bytes, type=B, timestamp=0.209 seconds
frame #7: size before decode=4016 bytes, size after decode=4147200 bytes, type=B, timestamp=0.250 seconds
frame #8: size before decode=198794 bytes, size after decode=4147200 bytes, type=B, timestamp=0.292 seconds
frame #9: size before decode=59572 bytes, size after decode=4147200 bytes, type=P, timestamp=0.334 seconds
frame #10: size before decode=10318 bytes, size after decode=4147200 bytes, type=B, timestamp=0.375 seconds
frame #11: size before decode=7329 bytes, size after decode=4147200 bytes, type=B, timestamp=0.417 seconds
frame #12: size before decode=143847 bytes, size after decode=4147200 bytes, type=B, timestamp=0.459 seconds
frame #13: size before decode=41554 bytes, size after decode=4147200 bytes, type=P, timestamp=0.500 seconds
frame #14: size before decode=6314 bytes, size after decode=4147200 bytes, type=B, timestamp=0.542 seconds
frame #15: size before decode=8322 bytes, size after decode=4147200 bytes, type=B, timestamp=0.584 seconds
frame #16: size before decode=81473 bytes, size after decode=4147200 bytes, type=B, timestamp=0.626 seconds
frame #17: size before decode=14053 bytes, size after decode=4147200 bytes, type=P, timestamp=0.667 seconds
frame #18: size before decode=7344 bytes, size after decode=4147200 bytes, type=B, timestamp=0.709 seconds
frame #19: size before decode=3576 bytes, size after decode=4147200 bytes, type=B, timestamp=0.751 seconds
frame #20: size before decode=194903 bytes, size after decode=4147200 bytes, type=B, timestamp=0.792 seconds
frame #21: size before decode=49433 bytes, size after decode=4147200 bytes, type=P, timestamp=0.834 seconds
frame #22: size before decode=9854 bytes, size after decode=4147200 bytes, type=B, timestamp=0.876 seconds
frame #23: size before decode=7229 bytes, size after decode=4147200 bytes, type=B, timestamp=0.918 seconds
