print meta info for videos/sample_960x400_ocean_with_audio.flv:
  duration time: 46.64 秒
  file size: 6.89 MB
  frame rate: 23.98 fps
  decoder: FLV / Sorenson Spark / Sorenson H.263 (Flash Video)

帧类型与大小统计:
frame #1: size before decode=9947 bytes, size after decode=819200 bytes, type=I, timestamp=0.023 seconds
frame #2: size before decode=197 bytes, size after decode=819200 bytes, type=P, timestamp=0.065 seconds
frame #3: size before decode=197 bytes, size after decode=819200 bytes, type=P, timestamp=0.106 seconds
frame #4: size before decode=197 bytes, size after decode=819200 bytes, type=P, timestamp=0.148 seconds
frame #5: size before decode=197 bytes, size after decode=819200 bytes, type=P, timestamp=0.190 seconds
frame #6: size before decode=197 bytes, size after decode=819200 bytes, type=P, timestamp=0.232 seconds
frame #7: size before decode=197 bytes, size after decode=819200 bytes, type=P, timestamp=0.273 seconds
frame #8: size before decode=197 bytes, size after decode=819200 bytes, type=P, timestamp=0.315 seconds
frame #9: size before decode=197 bytes, size after decode=819200 bytes, type=P, timestamp=0.357 seconds
frame #10: size before decode=197 bytes, size after decode=819200 bytes, type=P, timestamp=0.398 seconds
frame #11: size before decode=10290 bytes, size after decode=819200 bytes, type=I, timestamp=0.440 seconds
frame #12: size before decode=10788 bytes, size after decode=819200 bytes, type=I, timestamp=0.482 seconds
frame #13: size before decode=11194 bytes, size after decode=819200 bytes, type=I, timestamp=0.524 seconds
frame #14: size before decode=11736 bytes, size after decode=819200 bytes, type=I, timestamp=0.565 seconds
frame #15: size before decode=11129 bytes, size after decode=819200 bytes, type=I, timestamp=0.607 seconds
frame #16: size before decode=10605 bytes, size after decode=819200 bytes, type=I, timestamp=0.649 seconds
frame #17: size before decode=10459 bytes, size after decode=819200 bytes, type=I, timestamp=0.690 seconds
frame #18: size before decode=10409 bytes, size after decode=819200 bytes, type=I, timestamp=0.732 seconds
frame #19: size before decode=10288 bytes, size after decode=819200 bytes, type=I, timestamp=0.774 seconds
frame #20: size before decode=5593 bytes, size after decode=819200 bytes, type=P, timestamp=0.815 seconds
frame #21: size before decode=3420 bytes, size after decode=819200 bytes, type=P, timestamp=0.857 seconds
frame #22: size before decode=2832 bytes, size after decode=819200 bytes, type=P, timestamp=0.899 seconds
frame #23: size before decode=2976 bytes, size after decode=819200 bytes, type=P, timestamp=0.941 seconds
frame #24: size before decode=2587 bytes, size after decode=819200 bytes, type=P, timestamp=0.982 seconds
frame #25: size before decode=3116 bytes, size after decode=819200 bytes, type=P, timestamp=1.024 seconds
frame #26: size before decode=2507 bytes, size after decode=819200 bytes, type=P, timestamp=1.066 seconds
frame #27: size before decode=1962 bytes, size after decode=819200 bytes, type=P, timestamp=1.107 seconds
frame #28: size before decode=686 bytes, size after decode=819200 bytes, type=P, timestamp=1.149 seconds
frame #29: size before decode=713 bytes, size after decode=819200 bytes, type=P, timestamp=1.191 seconds
frame #30: size before decode=1008 bytes, size after decode=819200 bytes, type=P, timestamp=1.233 seconds
frame #31: size before decode=10621 bytes, size after decode=819200 bytes, type=I, timestamp=1.274 seconds
