print meta info for videos/sample_960x400_ocean_with_audio.mp4:
  duration time: 46.63 秒
  file size: 16.71 MB
  frame rate: 23.98 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=22 bytes, size after decode=819200 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=22 bytes, size after decode=819200 bytes, type=B, timestamp=0.042 seconds
frame #3: size before decode=22 bytes, size after decode=819200 bytes, type=B, timestamp=0.083 seconds
frame #4: size before decode=31 bytes, size after decode=819200 bytes, type=B, timestamp=0.125 seconds
frame #5: size before decode=24 bytes, size after decode=819200 bytes, type=P, timestamp=0.167 seconds
frame #6: size before decode=22 bytes, size after decode=819200 bytes, type=B, timestamp=0.209 seconds
frame #7: size before decode=22 bytes, size after decode=819200 bytes, type=B, timestamp=0.250 seconds
frame #8: size before decode=31 bytes, size after decode=819200 bytes, type=B, timestamp=0.292 seconds
frame #9: size before decode=1201 bytes, size after decode=819200 bytes, type=P, timestamp=0.334 seconds
frame #10: size before decode=1252 bytes, size after decode=819200 bytes, type=P, timestamp=0.375 seconds
frame #11: size before decode=1599 bytes, size after decode=819200 bytes, type=I, timestamp=0.417 seconds
frame #12: size before decode=1726 bytes, size after decode=819200 bytes, type=P, timestamp=0.459 seconds
frame #13: size before decode=2320 bytes, size after decode=819200 bytes, type=B, timestamp=0.500 seconds
frame #14: size before decode=2496 bytes, size after decode=819200 bytes, type=P, timestamp=0.542 seconds
frame #15: size before decode=1967 bytes, size after decode=819200 bytes, type=B, timestamp=0.584 seconds
frame #16: size before decode=2400 bytes, size after decode=819200 bytes, type=B, timestamp=0.626 seconds
frame #17: size before decode=2753 bytes, size after decode=819200 bytes, type=P, timestamp=0.667 seconds
frame #18: size before decode=2110 bytes, size after decode=819200 bytes, type=P, timestamp=0.709 seconds
frame #19: size before decode=1240 bytes, size after decode=819200 bytes, type=P, timestamp=0.751 seconds
frame #20: size before decode=2260 bytes, size after decode=819200 bytes, type=B, timestamp=0.792 seconds
frame #21: size before decode=1281 bytes, size after decode=819200 bytes, type=P, timestamp=0.834 seconds
frame #22: size before decode=2608 bytes, size after decode=819200 bytes, type=B, timestamp=0.876 seconds
frame #23: size before decode=1420 bytes, size after decode=819200 bytes, type=P, timestamp=0.918 seconds
frame #24: size before decode=1709 bytes, size after decode=819200 bytes, type=B, timestamp=0.959 seconds
frame #25: size before decode=1715 bytes, size after decode=819200 bytes, type=P, timestamp=1.001 seconds
frame #26: size before decode=3436 bytes, size after decode=819200 bytes, type=P, timestamp=1.043 seconds
frame #27: size before decode=2260 bytes, size after decode=819200 bytes, type=P, timestamp=1.084 seconds
frame #28: size before decode=1415 bytes, size after decode=819200 bytes, type=B, timestamp=1.126 seconds
frame #29: size before decode=1258 bytes, size after decode=819200 bytes, type=B, timestamp=1.168 seconds
frame #30: size before decode=1623 bytes, size after decode=819200 bytes, type=B, timestamp=1.210 seconds
frame #31: size before decode=1714 bytes, size after decode=819200 bytes, type=P, timestamp=1.251 seconds
frame #32: size before decode=2435 bytes, size after decode=819200 bytes, type=P, timestamp=1.293 seconds
frame #33: size before decode=1232 bytes, size after decode=819200 bytes, type=P, timestamp=1.335 seconds
frame #34: size before decode=1806 bytes, size after decode=819200 bytes, type=B, timestamp=1.376 seconds
frame #35: size before decode=2595 bytes, size after decode=819200 bytes, type=P, timestamp=1.418 seconds
frame #36: size before decode=1203 bytes, size after decode=819200 bytes, type=P, timestamp=1.460 seconds
frame #37: size before decode=1989 bytes, size after decode=819200 bytes, type=B, timestamp=1.502 seconds
frame #38: size before decode=3170 bytes, size after decode=819200 bytes, type=P, timestamp=1.543 seconds
frame #39: size before decode=1586 bytes, size after decode=819200 bytes, type=P, timestamp=1.585 seconds
frame #40: size before decode=2097 bytes, size after decode=819200 bytes, type=B, timestamp=1.627 seconds
frame #41: size before decode=2142 bytes, size after decode=819200 bytes, type=P, timestamp=1.668 seconds
frame #42: size before decode=3631 bytes, size after decode=819200 bytes, type=P, timestamp=1.710 seconds
frame #43: size before decode=1811 bytes, size after decode=819200 bytes, type=P, timestamp=1.752 seconds
frame #44: size before decode=2572 bytes, size after decode=819200 bytes, type=B, timestamp=1.793 seconds
frame #45: size before decode=2551 bytes, size after decode=819200 bytes, type=P, timestamp=1.835 seconds
frame #46: size before decode=4565 bytes, size after decode=819200 bytes, type=P, timestamp=1.877 seconds
frame #47: size before decode=3917 bytes, size after decode=819200 bytes, type=P, timestamp=1.919 seconds
frame #48: size before decode=2152 bytes, size after decode=819200 bytes, type=B, timestamp=1.960 seconds
frame #49: size before decode=2461 bytes, size after decode=819200 bytes, type=B, timestamp=2.002 seconds
frame #50: size before decode=4277 bytes, size after decode=819200 bytes, type=B, timestamp=2.044 seconds
frame #51: size before decode=2392 bytes, size after decode=819200 bytes, type=P, timestamp=2.085 seconds
frame #52: size before decode=3025 bytes, size after decode=819200 bytes, type=B, timestamp=2.127 seconds
frame #53: size before decode=5134 bytes, size after decode=819200 bytes, type=P, timestamp=2.169 seconds
frame #54: size before decode=3669 bytes, size after decode=819200 bytes, type=P, timestamp=2.211 seconds
frame #55: size before decode=2037 bytes, size after decode=819200 bytes, type=B, timestamp=2.252 seconds
frame #56: size before decode=2415 bytes, size after decode=819200 bytes, type=B, timestamp=2.294 seconds
frame #57: size before decode=3440 bytes, size after decode=819200 bytes, type=B, timestamp=2.336 seconds
frame #58: size before decode=5432 bytes, size after decode=819200 bytes, type=P, timestamp=2.377 seconds
frame #59: size before decode=2082 bytes, size after decode=819200 bytes, type=P, timestamp=2.419 seconds
frame #60: size before decode=2803 bytes, size after decode=819200 bytes, type=B, timestamp=2.461 seconds
frame #61: size before decode=5068 bytes, size after decode=819200 bytes, type=P, timestamp=2.502 seconds
frame #62: size before decode=2924 bytes, size after decode=819200 bytes, type=P, timestamp=2.544 seconds
frame #63: size before decode=1615 bytes, size after decode=819200 bytes, type=B, timestamp=2.586 seconds
frame #64: size before decode=1427 bytes, size after decode=819200 bytes, type=B, timestamp=2.628 seconds
frame #65: size before decode=4782 bytes, size after decode=819200 bytes, type=B, timestamp=2.669 seconds
frame #66: size before decode=1749 bytes, size after decode=819200 bytes, type=P, timestamp=2.711 seconds
frame #67: size before decode=2466 bytes, size after decode=819200 bytes, type=B, timestamp=2.753 seconds
frame #68: size before decode=2378 bytes, size after decode=819200 bytes, type=P, timestamp=2.794 seconds
frame #69: size before decode=5275 bytes, size after decode=819200 bytes, type=P, timestamp=2.836 seconds
frame #70: size before decode=3728 bytes, size after decode=819200 bytes, type=P, timestamp=2.878 seconds
frame #71: size before decode=2122 bytes, size after decode=819200 bytes, type=B, timestamp=2.920 seconds
frame #72: size before decode=2437 bytes, size after decode=819200 bytes, type=B, timestamp=2.961 seconds
frame #73: size before decode=4734 bytes, size after decode=819200 bytes, type=B, timestamp=3.003 seconds
frame #74: size before decode=2309 bytes, size after decode=819200 bytes, type=P, timestamp=3.045 seconds
frame #75: size before decode=5016 bytes, size after decode=819200 bytes, type=B, timestamp=3.086 seconds
frame #76: size before decode=2827 bytes, size after decode=819200 bytes, type=P, timestamp=3.128 seconds
frame #77: size before decode=2364 bytes, size after decode=819200 bytes, type=B, timestamp=3.170 seconds
frame #78: size before decode=5339 bytes, size after decode=819200 bytes, type=B, timestamp=3.212 seconds
frame #79: size before decode=3748 bytes, size after decode=819200 bytes, type=P, timestamp=3.253 seconds
frame #80: size before decode=2523 bytes, size after decode=819200 bytes, type=B, timestamp=3.295 seconds
frame #81: size before decode=2548 bytes, size after decode=819200 bytes, type=B, timestamp=3.337 seconds
frame #82: size before decode=3969 bytes, size after decode=819200 bytes, type=B, timestamp=3.378 seconds
frame #83: size before decode=4742 bytes, size after decode=819200 bytes, type=P, timestamp=3.420 seconds
frame #84: size before decode=2541 bytes, size after decode=819200 bytes, type=P, timestamp=3.462 seconds
frame #85: size before decode=3877 bytes, size after decode=819200 bytes, type=B, timestamp=3.503 seconds
frame #86: size before decode=5377 bytes, size after decode=819200 bytes, type=P, timestamp=3.545 seconds
frame #87: size before decode=3001 bytes, size after decode=819200 bytes, type=P, timestamp=3.587 seconds
frame #88: size before decode=2644 bytes, size after decode=819200 bytes, type=B, timestamp=3.629 seconds
frame #89: size before decode=5833 bytes, size after decode=819200 bytes, type=B, timestamp=3.670 seconds
frame #90: size before decode=3931 bytes, size after decode=819200 bytes, type=P, timestamp=3.712 seconds
frame #91: size before decode=2711 bytes, size after decode=819200 bytes, type=B, timestamp=3.754 seconds
frame #92: size before decode=2633 bytes, size after decode=819200 bytes, type=B, timestamp=3.795 seconds
frame #93: size before decode=3900 bytes, size after decode=819200 bytes, type=B, timestamp=3.837 seconds
frame #94: size before decode=3953 bytes, size after decode=819200 bytes, type=P, timestamp=3.879 seconds
frame #95: size before decode=3983 bytes, size after decode=819200 bytes, type=P, timestamp=3.921 seconds
frame #96: size before decode=4052 bytes, size after decode=819200 bytes, type=P, timestamp=3.962 seconds
frame #97: size before decode=4223 bytes, size after decode=819200 bytes, type=P, timestamp=4.004 seconds
frame #98: size before decode=4072 bytes, size after decode=819200 bytes, type=P, timestamp=4.046 seconds
frame #99: size before decode=3888 bytes, size after decode=819200 bytes, type=P, timestamp=4.087 seconds
frame #100: size before decode=4041 bytes, size after decode=819200 bytes, type=P, timestamp=4.129 seconds
frame #101: size before decode=4390 bytes, size after decode=819200 bytes, type=P, timestamp=4.171 seconds
frame #102: size before decode=4798 bytes, size after decode=819200 bytes, type=P, timestamp=4.213 seconds
frame #103: size before decode=5120 bytes, size after decode=819200 bytes, type=P, timestamp=4.254 seconds
frame #104: size before decode=5606 bytes, size after decode=819200 bytes, type=P, timestamp=4.296 seconds
frame #105: size before decode=5489 bytes, size after decode=819200 bytes, type=P, timestamp=4.338 seconds
frame #106: size before decode=5517 bytes, size after decode=819200 bytes, type=P, timestamp=4.379 seconds
frame #107: size before decode=5400 bytes, size after decode=819200 bytes, type=P, timestamp=4.421 seconds
frame #108: size before decode=5543 bytes, size after decode=819200 bytes, type=P, timestamp=4.463 seconds
frame #109: size before decode=5808 bytes, size after decode=819200 bytes, type=P, timestamp=4.505 seconds
frame #110: size before decode=5965 bytes, size after decode=819200 bytes, type=P, timestamp=4.546 seconds
frame #111: size before decode=14614 bytes, size after decode=819200 bytes, type=P, timestamp=4.588 seconds
frame #112: size before decode=2852 bytes, size after decode=819200 bytes, type=P, timestamp=4.630 seconds
frame #113: size before decode=6547 bytes, size after decode=819200 bytes, type=B, timestamp=4.671 seconds
frame #114: size before decode=7103 bytes, size after decode=819200 bytes, type=P, timestamp=4.713 seconds
frame #115: size before decode=7800 bytes, size after decode=819200 bytes, type=P, timestamp=4.755 seconds
frame #116: size before decode=7781 bytes, size after decode=819200 bytes, type=P, timestamp=4.796 seconds
frame #117: size before decode=8584 bytes, size after decode=819200 bytes, type=P, timestamp=4.838 seconds
frame #118: size before decode=8488 bytes, size after decode=819200 bytes, type=P, timestamp=4.880 seconds
frame #119: size before decode=11554 bytes, size after decode=819200 bytes, type=P, timestamp=4.922 seconds
frame #120: size before decode=6317 bytes, size after decode=819200 bytes, type=P, timestamp=4.963 seconds
frame #121: size before decode=32714 bytes, size after decode=819200 bytes, type=P, timestamp=5.005 seconds
frame #122: size before decode=12975 bytes, size after decode=819200 bytes, type=P, timestamp=5.047 seconds
frame #123: size before decode=15560 bytes, size after decode=819200 bytes, type=I, timestamp=5.088 seconds
frame #124: size before decode=8804 bytes, size after decode=819200 bytes, type=B, timestamp=5.130 seconds
frame #125: size before decode=12236 bytes, size after decode=819200 bytes, type=B, timestamp=5.172 seconds
frame #126: size before decode=11521 bytes, size after decode=819200 bytes, type=B, timestamp=5.214 seconds
frame #127: size before decode=9674 bytes, size after decode=819200 bytes, type=P, timestamp=5.255 seconds
